CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060125300|||X||||
060125400|||X||||
060125500|||X||||
060125800|||X||||
060125900|||X||||
060126000|X|X|||||
060126100|||X||||
060126300||X|X||||
060126400|||X||||
060126500|X|X|||||
060126600|||X||||
060126700|||X||||
060126800|||X||||
060127000|||X||||
060127200|||X||||
060127500|||X||||
060127700|||X||||
060128100|||X||||
060128200|||X||||
060128300||||||X|
060128500|||X||||
060128600|||X||||
060128700|||X||||
060128800|||X||||
060128900|||X||||
060129000|||X||||
060129100|||X||||
060129200|||||||
060129300|||||||
060129301|||||||
060129302|||||||
060129500|||X||||
060129600||X|||||
060129800|||X||||
060129900|||X||||
060130200|||X||||
060130300|||X||||
060130500|||X||||
060130600|||X||||
060130900|||X||||
060131000|||X||||
060131100|||X||||
060131300|||X||||
060131500|||X||||
060131600|||X||||
060131700|||X||||
060131900|||X||||
060132000||||X|||
060132100|||X||||
060132200|||X||||
060132300||X|||||
060132400|||X||||
060132500||X|||||
060132600||X|||||
060132700||X|||||
060132800||X|||||
060132900|||X||||
060133000||X|||||
060133100||X|||||
060133200|X|X|||||
060133300|||X||||
060133400|||X||||
060133500||X|||||
060133600||X|||||
060133700||X|||||
060134000|||X||||
060134100||X|||||
060134200|||X||||
060134300|||||||
060134400|X|X|||||
060134500|||X||||
060134600|||X||||
060134700|||X||||
060134900|X|X|||||
060135000||X|||||
060135100||X|||||
060135200|||X||||
060135300|||X||||
060135400|||X||||
060135500||X|||||
060135800|||||||
060135900|||X||||
060136000|X|X|||||
060136100||X|||||
060136200|||X||||
060136300|||X||||
060136400|||X||||
060136500||X|X||||
060136900|||X||||
060137200|||X||||
060137300||X|||||
060137400||||X|X||
060137500|X|X|||||
060137600|X|X|||||
060137700|||||||
060137800|X|X|||||
060137900|||X||||
060138000|X|X|||||
060138100|X|X|||||
060138200||X|||||
060138300||X|||||
060138400|||X||||
060138500||X|||||
060138600||X|||||
060138800|||X||||
060138900|||X||||
060139100|||X||||
060139300||X|X||||
060139400|||X||||
060139500||||||X|
060139600|||X||||
060139700|||X||||
060139800|||X||||
060139900|||X||||
060140000|||X||||
060140100|||X||||
060140200|||X||||
060140300|||X||||
060140400|||X||||
060140500||||X|||
060140600|||X||||
060140800||X|||||
060140900||X|||||
060141100||X|||||
060141200||X|||||
060141300|||X||||
060141400|||X||||
060141500|||X||||
060141600||X|||||
060141700|X|X|||||
060141900|||X||||
060142000|||X||||
060142300|||X||||
060142500|||X||||
060142600||X|||||
060142700||X|||||
060142800|X|X|||||
060142900|||||||
060143000|||X||||
060143100|||X||||
060143200||||||X|
060143300|X|X|||||
060143400|X|X|||||
060143700||||X|||
060143800|||X||||
060143900|||X||||
060144100||||X|||
060144200|||X||||
060144300|||X||||
060144400||X|||||
060144500|||X||||
060144600||||X|||
060144700||X|||||
060144800|||X||||
060144900|||||||
060144901|||||||
060144902|||||||
060144903|||||||
060145300||X|||||
060145400|||X||||
060145500|||X||||
060145600|||X||||
060145700|||X||||
060145800||||X|||
060145900|||X||||
060146000|||X||||
060146100||||X|X||
060146200||X|||||
060146300|X|X|||||
060146400|||X||||
060146500|||X||||
